team_id,team_name,team_code,federation_name,region_name,confederation_id,confederation_name,confederation_code
T-74,Trinidad and Tobago,TTO,Trinidad and Tobago Football Assocaition,Caribbean,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
T-75,Tunisia,TUN,Tunisian Football Federation,Africa,CF-2,Confederation of African Football,CAF
T-76,Turkey,TUR,Turkish Football Association,"Europe, Asia",CF-6,Union of European Football Associations,UEFA
T-77,Ukraine,UKR,Ukrainian Association of Football,Europe,CF-6,Union of European Football Associations,UEFA
T-78,United Arab Emirates,ARE,United Arab Emirates Football Association,Middle East,CF-1,Asian Football Confederation,AFC
T-79,United States,USA,United States Soccer Federation,North America,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF
T-80,Uruguay,URY,Uruguayan Football Association,South America,CF-4,South American Football Confederation,CONMEBOL
T-81,Wales,WAL,Football Association of Wales,Europe,CF-6,Union of European Football Associations,UEFA
T-82,West Germany,DEU,Germany Football Association,Europe,CF-6,Union of European Football Associations,UEFA
T-83,Yugoslavia,YUG,Football Association of Yugoslavia,Europe,CF-6,Union of European Football Associations,UEFA
T-84,Zaire,COD,Congolese Association Football Federation,Africa,CF-2,Confederation of African Football,CAF
